NAME	fibroblast	erythrocyte	professional antigen presenting cell	endothelial cell
Bbs9	1	1	159.767060394498	1
Bcam	342.310573680974	1	1	377.74897629743
Bcar1	1	1	1	71.0957860808896
Bckdha	84.4024900499179	1	1	1
Bcl2	81.1057033391101	1	1	1
Bcl2a1a	1	1	63.9192196042976	1
Bcl2a1b	1	1	298.082166375324	1
Bcl2a1d	1	1	199.72235651659	1
Bcl3	1	1	68.6019927549459	1
Bdp1	1	1	1	53.4850605310925
Beta.s	1	156877.490251577	1	1
Bgn	1718.91226284636	1	1	363.570710088373
Bicc1	184.786409537851	1	1	1
Birc3	1	1	177.658636319052	1
Blnk	1	1	69.0954097893619	1
Bmp1	177.864916488767	1	1	1
Bmp2k	1	1	89.5789900575579	1
Bmpr1a	60.6392237674246	1	1	1
Bnip3l	117.271744304673	1524.12866474979	115.990306410445	233.243159248117
Bok	66.9536827710425	1	1	1
Bpgm	1	2011.84906573489	1	1
Bpifa1	1175.88603655324	1	1	1
Braf	1	1	1	89.7276290925652
Brms1	1	1	57.3745684291214	1
Bscl2	423.147307447827	1	87.5189105598092	1
Btd	79.4314861585361	1	1	1
Btk	1	1	89.8264410456256	1
Btla	1	1	63.3850514470841	1
Btnl9	1	1	1	731.512372038644
C130074G19Rik	1	1	1	133.827399508007
C1galt1c1	1	1	1	69.4451781467855
C1qa	1	1	490.59144117883	1
C1qb	1	1	1115.58350967136	1
C1qc	1	1	522.812010759963	1
C1qtnf1	163.27129943975	1	1	1
C1qtnf2	131.106610219041	1	1	1
C1qtnf7	59.1260597762253	1	1	1
C1qtnf9	1	1	1	223.299280546208
C1ra	538.302444161044	1	1	1
C1s	807.484160298623	1	1	1
C2	83.4838491074407	1	1	1
C230096C10Rik	213.141941746225	1	1	1
C2cd2	1	1	1	79.9575771940428
C3	3567.18182255499	1	94.2309011491161	1
C4b	302.711505665	1	1	1
C7	232.435724886454	1	1	1
Cacna1s	1	1	56.49296883577	1
Cacnb3	1	1	191.823746381798	1
Cadm1	1	1	93.9797233269559	1
Calcrl	1	1	1	263.903604344523
Camk1d	1	1	99.9811167252158	1
Caml	1	1	89.0947710714662	1
Camsap2	69.6664722754124	1	1	1
Car2	1	205.87007165112	1	1
Car4	1	1	1	598.774636788432
Car7	1	1	1	328.38378512671
Caskin2	1	1	1	109.279565836381
Casp1	1	1	95.9575651367941	1
Casp12	74.3396241464228	1	1	1
Casp2	1	1	84.4554881837568	1
Casp6	1	1	98.2439725911228	1
Cav1	303.263174894208	1	1	2229.7396650266
Cav2	85.7028388878865	1	1	391.174485179381
Cblb	1	1	96.487359402479	1
Ccdc109b	1	1	109.844892533676	1
Ccdc127	72.569207462839	1	1	1
Ccdc3	116.245661313493	1	1	1
Ccdc80	1732.78208772523	1	1	136.726621415729
Ccdc82	1	1	1	58.0266903288373
Ccdc85a	1	1	1	88.9573733891555
Ccdc85b	48.6936517373354	1	1	197.461091002863
Ccl11	200.321908457274	1	1	1
Ccl17	1	1	361.695078611249	1
Ccl22	1	1	1681.98492401981	1
Ccl5	1	1	3348.36799857734	1
Ccl6	1	1	507.842903685029	1
Ccl9	1	1	335.712914766224	1
Ccndbp1	49.3984867428002	666.984415436244	111.366552639598	108.364702312519
Ccr2	1	1	108.075079735108	1
Ccr7	1	1	1293.25062794284	1
Ccrl2	1	1	1	155.238406308327
Cd14	1	1	189.301643497966	1
Cd151	280.635104309212	1	1	579.17769834093
Cd163	1	1	69.7972755170123	1
Cd2	1	1	97.5220905737078	1
Cd200	227.310132885618	1	17.3044771552845	1719.93366656319
Cd209a	1	1	1001.34027545541	1
Cd248	428.743237752003	1	1	1
Cd300a	1	1	101.544983978491	1
Cd300lg	1	1	1	1021.11311458423
Cd34	1223.20203026587	1	1	846.633954920389
Cd36	1	543.843529258283	297.987795695924	3473.19875425989
Cd37	1	1	383.386516609619	1
Cd38	1	1	61.1435820243228	526.7936097968
Cd40	1	1	120.531784514098	1
Cd48	1	1	287.401277837025	1
Cd52	1	1	674.277050368992	1
Cd53	1	1	422.08934990678	1
Cd55	284.694121679316	1	1	1
Cd59a	1	1	1	230.579278632501
Cd63	793.020353056771	1	320.825852998248	1
Cd68	1	1	436.473013611199	1
Cd74	462.963938850014	188.174550167166	16635.9844597894	1
Cd79a	1	1	312.928628911844	1
Cd79b	1	1	460.120590599296	1
Cd83	1	1	669.046655996092	1
Cd84	1	1	74.8168397215516	1
Cd86	1	1	118.563018395504	1
Cd8a	1	1	292.262571342551	1
Cd93	1	1	1	886.985779159438
Cdc14a	1	1	1	78.6947283366716
Cdc16	93.4793811634283	1	1	1
Cdc42ep1	31.4617999288637	1	1	318.846509358648
Cdc42ep2	93.9909488763775	1	1	391.446004916141
Cdc42ep4	1	1	1	212.851833312378
Cdh11	111.436892274304	1	1	1
Cdh13	100.350237688839	1	1	500.19579380409
Cdh5	1	1	1	558.788047619277
Cdk16	73.4612214644342	1	1	1
Cdk17	1	1	1	74.4468815584375
Cdkn1c	111.372782218271	1	1	226.806792219314
Cdkn2d	1	1	68.2555739031554	1
Cdon	91.7211582947668	1	1	1
Ceacam1	1	1	1	297.297411383531
Cep350	1	1	64.6535687864025	1
