NAME	monocyte	T cell	hematopoietic stem cell	granulocyte	erythrocyte	B cell	macrophage	Fraction A pre-pro B cell
Acsl4	1	1	1	1	1	37.7338682276573	52.0838920374303	1
Acss1	1	1	1	1	1	52.3014276716944	1	102.030146990286
Actn1	1	76.104449921209	50.4123065031557	238.374216061317	1	1	1	1
Acvrl1	1	1	1	72.82108339261	1	1	1	1
Ada	1	1	26.5219274121513	1	1	1	1	60.3509881960492
Adam11	1	1	1	1	1	1	60.6905995980862	1
Adam15	64.9819017974521	1	23.9191861423618	1	1	1	1	1
Adam17	35.7181491385396	1	1	1	1	1	1	1
Adam19	1	1	1	1	1	40.6001923187649	93.06953693251	1
Adam8	1	1	1	94.964467977489	1	1	1	1
Adamts7	1	1	1	1	1	1	1	165.110466057588
Adar	1	1	1	1	1	1	37.6129640092054	1
Adcy7	1	1	1	1	1	1	56.359109445451	1
Adipor1	210.444487579544	120.362842059264	183.080360218833	309.04983137163	601.124268414365	106.699002057189	62.6141212806315	122.836056784391
Adk	1	1	49.0735701555185	1	1	36.793349818469	131.676971329188	1
Ado	1	1	21.7911044303349	1	1	1	1	1
Adpgk	32.1508335605219	1	142.733095473995	564.813498268824	1	1	89.1363437633364	1
Adrb2	84.9581649416364	1	41.2140309224126	174.827054017973	1	1	61.0821439303239	81.0533236479253
Adrbk2	38.5691759669023	1	1	1	1	1	1	1
Aff3	1	1	1	1	1	64.4675816135827	1	174.025037432363
Aff4	1	1	23.4601589898779	1	1	1	57.7897006324701	1
Afg3l2	1	1	24.258199070582	1	1	1	1	1
Aga	1	1	21.98879032077	1	1	1	1	1
Agfg2	1	1	24.0943981542421	1	1	1	1	1
Agl	1	1	1	36.530502683664	1	1	1	1
Agpat3	1	51.8137142560601	1	1	1	1	1	120.341722481522
Agpat4	35.281572630247	1	1	1	1	1	1	1
Agpat5	1	1	62.8793822565356	1	1	32.6055854693414	64.0516970174936	1
Agpat9	1	1	1	1	1	64.1842486468799	1	133.253589525518
Agps	1	1	45.6070273506589	49.9920741777637	1	34.0414449904718	1	1
Agtrap	1	1	54.2803337307843	70.3398302142294	1	1	74.1707284462423	52.2824534676556
Ahi1	1	1	1	1	1	1	1	75.4457484715676
Ahnak	758.048616281113	326.555647751493	128.955068652817	1	1	1	489.533615263243	1
Aif1	122.263826105705	1	39.8108512500435	1	1	1	1	1
Aim1	1	52.7152837313392	1	1	1	1	1	1
Akap12	1	1	1	1	1	275.008184577558	1	371.654143873955
Akap8l	1	1	1	1	1	31.1556453352555	1	50.0789674034839
Akr1b10	1	1	1	1	1	1	1	48.733801651976
Akr1e1	1	1	1	1	1	1	1	71.3145481854879
Akt2	1	1	26.132390426118	1	1	1	1	1
Alad	1	1	129.005507457399	1	1	48.9791907791528	1	68.8463634065668
