	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000102664.1	81.8231352469418	-0.075633908488954	0.274126708487236	-0.275908571282012	0.782618290426991	0.999963202828308
ENSMUSG00000005886.14	1746.1075184665	0.0530925399178057	0.0976313134141475	0.54380647008803	0.586574656013364	0.999963202828308
ENSMUSG00000025935.10	2208.77135657542	-0.215044169482235	0.240610444905087	-0.89374411641632	0.37145881537415	0.999963202828308
ENSMUSG00000102982.1	42.0406589307678	-0.201089551635925	0.395996445629139	-0.507806455980795	0.611589081785926	0.999963202828308
ENSMUSG00000025937.6	1315.11328336809	0.067273649045037	0.239618386272985	0.280753284801757	0.778899636307673	0.999963202828308
ENSMUSG00000097711.1	2.25782245228754	1.39000703211974	1.13461187633123	1.22509473161371	0.220539529957488	0.999963202828308
ENSMUSG00000102166.1	3.33547743084551	0.834014164063327	1.09680663543178	0.760402186785643	0.447014216554884	0.999963202828308
ENSMUSG00000104209.1	3.97809482056174	1.18516885210147	0.820212961504697	1.44495260100164	0.148471199842114	0.999963202828308
ENSMUSG00000102588.1	2.8650927035568	0.988087731802448	1.35027192245966	0.731769442411678	0.464309303196782	0.999963202828308
ENSMUSG00000025932.14	558.986764051041	0.325471854444282	0.44389621236067	0.733216110841317	0.463426630614713	0.999963202828308
ENSMUSG00000025930.6	13.6303121544644	-0.0979428532531821	0.52921148714307	-0.185073180822138	0.85317163680918	0.999963202828308
ENSMUSG00000054493.2	9.11938747018227	-0.315086139557847	0.529206645084589	-0.59539339213604	0.55158054146616	0.999963202828308
ENSMUSG00000103492.1	2.96900784103952	-0.210245797239443	1.00798498930428	-0.208580285887546	0.83477590165998	0.999963202828308
ENSMUSG00000081201.1	298.311540433414	-0.148539579844633	0.22839407852506	-0.650365284441184	0.515456296070724	0.999963202828308
ENSMUSG00000082193.1	13.9243166974531	-0.0929195944310153	0.472025849510402	-0.196852766702065	0.843942757055461	0.999963202828308
ENSMUSG00000073737.3	5.74775561031438	0.285117011152554	0.675192290498663	0.422275276487504	0.67282410192242	0.999963202828308
ENSMUSG00000092083.4	125.530650588966	0.450282896327762	0.547379136365158	0.822616110869408	0.410726333950847	0.999963202828308
ENSMUSG00000025925.14	189.249295440872	-0.262065087889451	0.176127024779302	-1.48793229328568	0.13676875021778	0.999963202828308
ENSMUSG00000104379.1	55.1749785237697	-0.0999892107409192	0.276095004273334	-0.362155088622791	0.717236138839477	0.999963202828308
ENSMUSG00000032719.4	56.717448504691	-0.0400367067062791	0.288925265798746	-0.138571151247697	0.889789041301244	0.999963202828308
ENSMUSG00000043716.13	3696.14868651148	-0.181505748860878	0.210837560015597	-0.860879574054317	0.389304372581376	0.999963202828308
ENSMUSG00000025921.7	215.481676303936	0.0388122355611759	0.14743569521591	0.263248567481152	0.792358999050311	0.999963202828308
